         table_name         |           column_name           |        data_type         
 persons                    | ingested_at                     | timestamp with time zone
 persons                    | updated_at                      | timestamp with time zone
 properties                 | property_id                     | text
 properties                 | crime_id                        | text
 properties                 | case_property_id                | text
 properties                 | category                        | text
 properties                 | nature                          | text
 properties                 | property_status                 | text
 properties                 | belongs                         | text
 properties                 | particular_of_property          | text
 properties                 | place_of_recovery               | text
 properties                 | recovered_from                  | text
 properties                 | estimate_value                  | text
 properties                 | recovered_value                 | text
 properties                 | date_of_seizure                 | text
 properties                 | additional_details              | jsonb
 properties                 | media                           | jsonb
 properties                 | date_created_api                | timestamp with time zone
 properties                 | date_modified_api               | timestamp with time zone
 properties                 | ingested_at                     | timestamp with time zone
 properties                 | updated_at                      | timestamp with time zone
 report_arrest_particulars  | id                              | bigint
 report_arrest_particulars  | crime_id                        | text
 report_arrest_particulars  | fir_num                         | text
 report_arrest_particulars  | accused_name                    | text
 report_arrest_particulars  | date_of_arrest                  | text
 report_arrest_particulars  | district                        | text
 report_arrest_particulars  | ps_name                         | text
 report_arrest_particulars  | district_codes                  | text
 report_arrest_particulars  | window_from                     | date
 report_arrest_particulars  | window_to                       | date
 report_arrest_particulars  | payload                         | jsonb
 report_arrest_particulars  | ingested_at                     | timestamp with time zone
 report_missing_udb_persons | id                              | bigint
 report_missing_udb_persons | crime_id                        | text
 report_missing_udb_persons | fir_num                         | text
 report_missing_udb_persons | person_type                     | text
 report_missing_udb_persons | person_name                     | text
 report_missing_udb_persons | person_age                      | text
 report_missing_udb_persons | gender                          | text
 report_missing_udb_persons | district                        | text
 report_missing_udb_persons | ps_name                         | text
 report_missing_udb_persons | district_codes                  | text
 report_missing_udb_persons | window_from                     | date
 report_missing_udb_persons | window_to                       | date
 report_missing_udb_persons | payload                         | jsonb
 report_missing_udb_persons | ingested_at                     | timestamp with time zone
 stolen_automobiles         | stolen_property_id              | text
 stolen_automobiles         | crime_id                        | text
 stolen_automobiles         | seq_no                          | text
 stolen_automobiles         | auto_seq_no                     | text
 stolen_automobiles         | auto_type                       | text
 stolen_automobiles         | registration_no                 | text
 stolen_automobiles         | chassis_no                      | text
 stolen_automobiles         | engine_no                       | text
 stolen_automobiles         | make                            | text
 stolen_automobiles         | model                           | text
 stolen_automobiles         | color                           | text
 stolen_automobiles         | estimate_value                  | text
 stolen_automobiles         | district                        | text
 stolen_automobiles         | payload                         | jsonb
 stolen_automobiles         | date_created_api                | timestamp with time zone
 stolen_automobiles         | date_modified_api               | timestamp with time zone
 stolen_automobiles         | ingested_at                     | timestamp with time zone
 stolen_automobiles         | updated_at                      | timestamp with time zone
(395 rows)

